year_f,mean_lst,.lower,.upper,.width,.point,.interval,year
1987,16.207130565040558,14.918181902809305,17.55572771379027,0.95,median,qi,1987
1988,20.294262739352842,19.02297270589312,21.603210893797804,0.95,median,qi,1988
1989,20.515915719707642,19.24096734917513,21.842233761518703,0.95,median,qi,1989
1990,19.913189339588797,18.651936628333672,21.236210823528417,0.95,median,qi,1990
1991,18.566356656002398,17.314080460213013,19.854010001370487,0.95,median,qi,1991
1992,18.955315268735024,17.659495917828554,20.268743360708978,0.95,median,qi,1992
1993,20.166456674989096,18.903805107062805,21.499791781505724,0.95,median,qi,1993
1994,17.765377993045508,16.39270060500604,19.159929875387817,0.95,median,qi,1994
1995,18.595603709237924,17.345277913055046,19.918650548167054,0.95,median,qi,1995
1996,19.479706977391455,18.238174348424614,20.815115779920948,0.95,median,qi,1996
1997,19.852889242827352,18.553463026203126,21.19189738504537,0.95,median,qi,1997
1998,22.08765668549318,20.343701482327855,23.8265466096598,0.95,median,qi,1998
1999,19.556987996486697,18.350692707756135,20.843070254932446,0.95,median,qi,1999
2000,20.00847476757158,18.72887328465269,21.33358775672491,0.95,median,qi,2000
2001,19.36965601132869,18.14090215654042,20.658135703828286,0.95,median,qi,2001
2002,22.21922902340134,20.999187489343583,23.524430689144943,0.95,median,qi,2002
2003,20.66680475655813,19.38930331237848,22.006814887770517,0.95,median,qi,2003
2004,19.680253925278755,18.43060530660083,21.007763166748774,0.95,median,qi,2004
2005,20.618534108800915,19.38241625345814,21.87356229065184,0.95,median,qi,2005
2006,20.687980988161115,19.48137063184349,21.96606448290681,0.95,median,qi,2006
2007,20.591365046235243,19.32206063606433,21.926939917086376,0.95,median,qi,2007
2008,19.119675308418536,17.829144312827747,20.45385801387597,0.95,median,qi,2008
2009,19.999264383792507,18.78273451959777,21.280149457504944,0.95,median,qi,2009
2010,21.23340162551322,19.951017451608397,22.599803270883825,0.95,median,qi,2010
2011,19.07626590881921,17.821761875899426,20.38550849316464,0.95,median,qi,2011
2012,17.847233714964702,16.476021722899965,19.231225508495445,0.95,median,qi,2012
2013,17.919663031042443,16.654558171956722,19.214148044033895,0.95,median,qi,2013
2014,19.014092498820474,17.776806167594238,20.299597015097604,0.95,median,qi,2014
2015,17.72374226761034,16.492607956116693,18.98963627163962,0.95,median,qi,2015
2016,18.26892930409321,17.072219425756636,19.528674701437332,0.95,median,qi,2016
2017,16.597951813881693,15.403719274986871,17.90198366330342,0.95,median,qi,2017
2018,19.798274865489823,18.52978302836979,21.13381626909282,0.95,median,qi,2018
2019,18.742031602449963,17.51198397527773,20.05554403503758,0.95,median,qi,2019
2020,17.94330267338094,16.739671213203806,19.242134168244313,0.95,median,qi,2020
2021,18.232067665306367,16.96376949896924,19.56653397569274,0.95,median,qi,2021
2022,18.16163928327545,16.947267724264435,19.401637753373354,0.95,median,qi,2022
